epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,122.962,1.6477,2.19193,0.00761,0.39002,0.57632,0.50297,0.28242,1.3872,1.60034,0.00655,0.0007921,0.0007921,0.0007921
44,126.309,1.62554,2.07339,0.00704,0.44296,0.60995,0.53408,0.31335,1.44333,1.48328,0.00678,0.00078715,0.00078715,0.00078715
45,129.187,1.53681,2.06104,0.00693,0.47152,0.59155,0.55239,0.32761,1.3578,1.57934,0.00644,0.0007822,0.0007822,0.0007822
46,132.51,1.55187,2.0066,0.00672,0.39517,0.67879,0.5466,0.31794,1.35801,1.49727,0.00645,0.00077725,0.00077725,0.00077725
47,136.131,1.56337,1.99542,0.00702,0.43123,0.67183,0.5832,0.37142,1.26166,1.36723,0.00595,0.0007723,0.0007723,0.0007723
48,139.949,1.47493,1.94993,0.00653,0.44727,0.64543,0.58994,0.34164,1.38913,1.36847,0.00658,0.00076735,0.00076735,0.00076735
49,142.752,1.58821,2.01058,0.00669,0.47064,0.59136,0.57195,0.31536,1.40599,1.48175,0.00651,0.0007624,0.0007624,0.0007624
50,145.388,1.50614,1.90925,0.00655,0.44399,0.64426,0.61424,0.33189,1.46109,1.39619,0.00712,0.00075745,0.00075745,0.00075745
51,147.924,1.56734,1.84049,0.00685,0.44614,0.77078,0.64234,0.37266,1.40717,1.33607,0.00681,0.0007525,0.0007525,0.0007525
52,150.446,1.51577,1.86248,0.00662,0.54154,0.70222,0.63313,0.38751,1.40903,1.2642,0.00673,0.00074755,0.00074755,0.00074755
53,152.887,1.51705,1.80179,0.00626,0.598,0.58416,0.65578,0.39885,1.28874,1.28183,0.0061,0.0007426,0.0007426,0.0007426
54,155.477,1.59696,1.81108,0.00663,0.54544,0.63864,0.64668,0.38221,1.35537,1.26388,0.00649,0.00073765,0.00073765,0.00073765
55,158.028,1.55703,1.77116,0.00685,0.51386,0.66694,0.65117,0.40017,1.33831,1.24565,0.00645,0.0007327,0.0007327,0.0007327
56,160.608,1.56851,1.78963,0.00668,0.50301,0.66194,0.63725,0.36797,1.4364,1.37584,0.00706,0.00072775,0.00072775,0.00072775
57,163.111,1.60596,1.79142,0.0072,0.48685,0.67181,0.60632,0.35577,1.40881,1.33579,0.00691,0.0007228,0.0007228,0.0007228
58,165.638,1.50963,1.67615,0.00627,0.58038,0.59009,0.64062,0.38053,1.32945,1.33388,0.00627,0.00071785,0.00071785,0.00071785
59,169.111,1.56411,1.68315,0.00638,0.55067,0.64196,0.64706,0.38339,1.33376,1.36458,0.00615,0.0007129,0.0007129,0.0007129
60,172.038,1.54122,1.69218,0.00649,0.55222,0.68178,0.68205,0.38291,1.37421,1.29631,0.00639,0.00070795,0.00070795,0.00070795
61,174.641,1.50217,1.63064,0.00621,0.57887,0.75375,0.69414,0.42419,1.24682,1.18455,0.00566,0.000703,0.000703,0.000703
62,177.394,1.52879,1.61205,0.00649,0.67827,0.69144,0.73243,0.43858,1.32519,1.16102,0.00638,0.00069805,0.00069805,0.00069805
63,180.003,1.53326,1.55075,0.00664,0.67815,0.71947,0.74245,0.4661,1.28971,1.11134,0.00615,0.0006931,0.0006931,0.0006931
64,182.738,1.45601,1.53287,0.00584,0.67673,0.64087,0.73589,0.45562,1.34161,1.15425,0.00606,0.00068815,0.00068815,0.00068815
65,185.404,1.48439,1.44464,0.00611,0.57905,0.79337,0.71686,0.45267,1.25246,1.15635,0.00592,0.0006832,0.0006832,0.0006832
66,188.065,1.44897,1.51912,0.00612,0.59228,0.75913,0.72409,0.44654,1.29754,1.1599,0.00617,0.00067825,0.00067825,0.00067825
67,190.73,1.48962,1.5326,0.00632,0.72478,0.70061,0.74875,0.43645,1.3892,1.12048,0.00644,0.0006733,0.0006733,0.0006733
68,193.398,1.39651,1.36336,0.00565,0.63032,0.71963,0.75742,0.48246,1.23729,1.1145,0.00576,0.00066835,0.00066835,0.00066835
69,196.018,1.45259,1.38839,0.0063,0.61684,0.82061,0.77315,0.48161,1.30514,1.0465,0.00607,0.0006634,0.0006634,0.0006634
70,198.661,1.40379,1.41723,0.0058,0.60383,0.7731,0.77185,0.48783,1.32839,1.05192,0.00619,0.00065845,0.00065845,0.00065845
71,201.323,1.40321,1.30308,0.00588,0.67475,0.80889,0.79337,0.49257,1.28496,1.06321,0.00591,0.0006535,0.0006535,0.0006535
72,203.995,1.44174,1.4603,0.00598,0.68631,0.69651,0.755,0.48009,1.3101,1.07106,0.00598,0.00064855,0.00064855,0.00064855
73,206.603,1.48689,1.40617,0.00627,0.69113,0.68887,0.76639,0.47887,1.34911,1.07724,0.00624,0.0006436,0.0006436,0.0006436
74,209.378,1.55761,1.39946,0.00606,0.70583,0.7458,0.79255,0.49369,1.28424,1.05104,0.00588,0.00063865,0.00063865,0.00063865
75,212.013,1.43551,1.31873,0.00591,0.68561,0.73545,0.78927,0.4752,1.35369,1.04306,0.00632,0.0006337,0.0006337,0.0006337
76,214.719,1.43171,1.29011,0.00562,0.64448,0.72505,0.7716,0.47161,1.30376,1.15409,0.00616,0.00062875,0.00062875,0.00062875
77,217.315,1.41205,1.35641,0.00612,0.64395,0.79879,0.76831,0.45955,1.38179,1.08185,0.00661,0.0006238,0.0006238,0.0006238
78,219.997,1.47812,1.41622,0.00629,0.72549,0.77435,0.81029,0.47303,1.4256,1.05058,0.00704,0.00061885,0.00061885,0.00061885
79,222.564,1.43708,1.30769,0.00596,0.72374,0.76436,0.81444,0.48895,1.37866,1.01494,0.00667,0.0006139,0.0006139,0.0006139
80,225.213,1.48621,1.31702,0.00641,0.73105,0.78263,0.82425,0.52536,1.28054,1.01669,0.00596,0.00060895,0.00060895,0.00060895
81,227.879,1.45212,1.26423,0.00614,0.69389,0.79946,0.79699,0.46684,1.37445,1.04936,0.00629,0.000604,0.000604,0.000604
82,230.593,1.46684,1.26762,0.00593,0.79101,0.73203,0.81622,0.51033,1.28563,0.9533,0.0059,0.00059905,0.00059905,0.00059905
83,233.237,1.42489,1.28174,0.00597,0.74085,0.79036,0.81451,0.52211,1.24758,0.96111,0.00564,0.0005941,0.0005941,0.0005941
84,236.016,1.41021,1.18432,0.00598,0.6796,0.85095,0.81862,0.50725,1.36098,0.93428,0.00638,0.00058915,0.00058915,0.00058915
85,238.626,1.37106,1.26022,0.00567,0.69121,0.81582,0.8198,0.51323,1.34826,0.87335,0.00649,0.0005842,0.0005842,0.0005842
86,241.313,1.40657,1.24882,0.00604,0.71862,0.75908,0.80226,0.49178,1.32549,0.94567,0.00632,0.00057925,0.00057925,0.00057925
87,243.905,1.35891,1.17023,0.00566,0.72352,0.77725,0.8019,0.47965,1.36453,0.9872,0.0065,0.0005743,0.0005743,0.0005743
88,246.544,1.39156,1.18696,0.00623,0.71959,0.75024,0.81494,0.52795,1.28722,0.95535,0.00605,0.00056935,0.00056935,0.00056935
89,249.195,1.45164,1.23318,0.00644,0.749,0.80348,0.83476,0.5271,1.32131,0.94991,0.00636,0.0005644,0.0005644,0.0005644
90,251.831,1.40815,1.22504,0.00601,0.73051,0.76353,0.80458,0.47371,1.3824,0.98708,0.00642,0.00055945,0.00055945,0.00055945
91,254.52,1.34315,1.11245,0.00545,0.65028,0.85071,0.78925,0.48509,1.30893,1.10231,0.00604,0.0005545,0.0005545,0.0005545
92,257.126,1.42136,1.2545,0.0062,0.71547,0.83356,0.84426,0.51616,1.36647,0.96218,0.00655,0.00054955,0.00054955,0.00054955
93,259.676,1.38716,1.12217,0.00561,0.74703,0.78644,0.84181,0.49964,1.38864,0.96074,0.00635,0.0005446,0.0005446,0.0005446
94,262.369,1.38366,1.18559,0.00581,0.72877,0.83941,0.84132,0.55281,1.21919,0.94865,0.0056,0.00053965,0.00053965,0.00053965
95,265.006,1.44811,1.18931,0.00592,0.78138,0.83936,0.86279,0.53611,1.34694,0.87315,0.00618,0.0005347,0.0005347,0.0005347
96,267.702,1.37639,1.12604,0.00527,0.80839,0.82055,0.85198,0.55084,1.26227,0.90297,0.00567,0.00052975,0.00052975,0.00052975
97,270.447,1.3068,1.15294,0.0055,0.7089,0.84294,0.8463,0.5583,1.23795,0.90398,0.0056,0.0005248,0.0005248,0.0005248
98,273.254,1.39699,1.18507,0.00598,0.75809,0.78949,0.83197,0.54778,1.26047,0.88145,0.0057,0.00051985,0.00051985,0.00051985
99,275.904,1.29683,1.03724,0.0053,0.71407,0.75124,0.83326,0.52508,1.3337,0.89834,0.00598,0.0005149,0.0005149,0.0005149
100,278.566,1.3839,1.17498,0.00603,0.74494,0.83355,0.85569,0.55459,1.23598,0.89547,0.00553,0.00050995,0.00050995,0.00050995
101,281.171,1.37834,1.10742,0.00564,0.81964,0.79297,0.87218,0.56344,1.30249,0.84457,0.00591,0.000505,0.000505,0.000505
102,283.871,1.35071,1.09169,0.00557,0.82844,0.83304,0.85612,0.55707,1.24825,0.81743,0.00566,0.00050005,0.00050005,0.00050005
103,286.45,1.407,1.11706,0.00623,0.77342,0.83773,0.8664,0.56471,1.29723,0.82359,0.00609,0.0004951,0.0004951,0.0004951
104,289.214,1.36625,1.09264,0.00573,0.75754,0.83256,0.87006,0.57641,1.23196,0.80938,0.00559,0.00049015,0.00049015,0.00049015
105,291.964,1.36059,1.09311,0.00561,0.80247,0.76601,0.86024,0.55986,1.2775,0.84374,0.0058,0.0004852,0.0004852,0.0004852
106,294.799,1.402,1.04944,0.00598,0.84054,0.74596,0.84418,0.53142,1.36647,0.91244,0.00627,0.00048025,0.00048025,0.00048025
107,297.446,1.37113,1.03899,0.00569,0.82035,0.79871,0.86356,0.52183,1.35191,0.91966,0.0062,0.0004753,0.0004753,0.0004753
108,300.096,1.33815,1.03384,0.00517,0.81233,0.8095,0.86753,0.55679,1.29886,0.87319,0.00626,0.00047035,0.00047035,0.00047035
109,302.701,1.30649,1.01555,0.00537,0.72854,0.83908,0.84175,0.54338,1.31649,0.98125,0.00631,0.0004654,0.0004654,0.0004654
110,305.382,1.36472,0.96019,0.00569,0.82388,0.87303,0.88402,0.57773,1.25731,0.79645,0.0059,0.00046045,0.00046045,0.00046045
111,307.956,1.30539,0.98267,0.00533,0.78165,0.88253,0.86928,0.54572,1.30263,0.84039,0.00598,0.0004555,0.0004555,0.0004555
112,310.636,1.33642,1.00447,0.00543,0.75312,0.83404,0.86515,0.56053,1.25788,0.83186,0.00584,0.00045055,0.00045055,0.00045055
113,313.222,1.33716,1.0236,0.00578,0.82806,0.81415,0.86445,0.54686,1.31853,0.87167,0.00614,0.0004456,0.0004456,0.0004456
114,315.841,1.32896,0.9764,0.00543,0.80058,0.85897,0.85748,0.55304,1.30109,0.84034,0.00616,0.00044065,0.00044065,0.00044065
115,318.564,1.33092,0.98439,0.00553,0.74655,0.87827,0.86117,0.55919,1.29122,0.78604,0.00599,0.0004357,0.0004357,0.0004357
116,321.261,1.42165,1.03615,0.00596,0.81083,0.86942,0.87841,0.55943,1.25514,0.80279,0.00557,0.00043075,0.00043075,0.00043075
117,323.903,1.33388,0.96582,0.00507,0.81247,0.8309,0.87738,0.56466,1.27884,0.84105,0.0058,0.0004258,0.0004258,0.0004258
118,326.519,1.28447,0.94145,0.00503,0.78705,0.82149,0.85942,0.56741,1.2208,0.8308,0.00548,0.00042085,0.00042085,0.00042085
119,329.087,1.40295,1.05637,0.00586,0.75823,0.85234,0.87922,0.56767,1.2422,0.83612,0.00557,0.0004159,0.0004159,0.0004159
120,331.717,1.39285,1.01338,0.00569,0.83632,0.74072,0.87486,0.55515,1.27003,0.80464,0.00571,0.00041095,0.00041095,0.00041095
