epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,505.71,1.24605,0.86287,0.00529,0.81926,0.88997,0.9096,0.60428,1.16014,0.69527,0.00518,8.92e-05,8.92e-05,8.92e-05
186,508.483,1.29265,0.87064,0.00513,0.83336,0.87309,0.91098,0.60358,1.15895,0.69232,0.0052,8.425e-05,8.425e-05,8.425e-05
187,511.102,1.18698,0.7882,0.00481,0.81819,0.89997,0.91218,0.59905,1.1742,0.69396,0.00525,7.93e-05,7.93e-05,7.93e-05
188,513.799,1.18533,0.82685,0.00479,0.82481,0.89545,0.90668,0.60038,1.1831,0.69351,0.00529,7.435e-05,7.435e-05,7.435e-05
189,516.452,1.18623,0.79402,0.00476,0.81186,0.89981,0.90301,0.59968,1.18361,0.69461,0.0053,6.94e-05,6.94e-05,6.94e-05
190,519.14,1.23049,0.79684,0.00468,0.83932,0.87812,0.90842,0.60352,1.17912,0.68666,0.00527,6.445e-05,6.445e-05,6.445e-05
191,539.94,1.14789,0.69564,0.00575,0.83112,0.88561,0.90577,0.59798,1.19164,0.69386,0.0053,5.95e-05,5.95e-05,5.95e-05
192,542.745,1.15432,0.72252,0.00567,0.86527,0.87529,0.90772,0.59548,1.18798,0.6999,0.0053,5.455e-05,5.455e-05,5.455e-05
193,545.397,1.11028,0.70789,0.00523,0.8383,0.88366,0.90434,0.59438,1.21835,0.71077,0.00556,4.96e-05,4.96e-05,4.96e-05
194,548.119,1.13795,0.72928,0.00535,0.87951,0.84906,0.90714,0.59508,1.24172,0.71591,0.00569,4.465e-05,4.465e-05,4.465e-05
195,550.763,1.10477,0.69025,0.00533,0.87508,0.84163,0.90507,0.59607,1.22558,0.70924,0.0056,3.97e-05,3.97e-05,3.97e-05
196,553.427,1.129,0.69217,0.00558,0.87659,0.84512,0.90515,0.60422,1.19311,0.69253,0.00534,3.475e-05,3.475e-05,3.475e-05
197,556.098,1.06993,0.68365,0.00509,0.8785,0.85771,0.90658,0.60501,1.17522,0.69533,0.00524,2.98e-05,2.98e-05,2.98e-05
198,558.736,1.06952,0.64976,0.00506,0.87512,0.84552,0.90389,0.60755,1.18884,0.68215,0.0053,2.485e-05,2.485e-05,2.485e-05
199,561.356,1.08422,0.70834,0.00534,0.87933,0.82391,0.90605,0.60988,1.19741,0.67677,0.00534,1.99e-05,1.99e-05,1.99e-05
200,564.022,1.04716,0.66734,0.00499,0.87131,0.82432,0.90739,0.60796,1.1971,0.67824,0.00534,1.495e-05,1.495e-05,1.495e-05
